 Andora;EUR
 Austria;EUR
 Belgia;EUR
 Cypr;EUR
 Estonia;EUR
 Finlandia;EUR
 Francja;EUR
 Grecja;EUR
 Hiszpania;EUR
 Holandia;EUR
 Irlandia;EUR
 Litwa;EUR
 Luksemburg;EUR
 Å¥otwa;EUR
 Malta;EUR
 Monako;EUR
 Niemcy;EUR
 Portugalia;EUR
 San Marino;EUR
 Watykan;EUR
 W³ˆochy;EUR
 Wêgry;HUF
 Liechtenstein;CHF
 Szwajcaria;CHF
 Wielka Brytania;GBP
 Ukraina;UAH
 Czechy;CZK
 Dania;DKK
 Islandia;KPW
 Norwegia;NOK
 Szwecja;SEK
 Chorwacja;HRK
 Rumunia;RON
 Mo³ˆdawia;MDL
 Albania;ALL
 Bu³ˆgaria;BGN
 Turcja;TRY
 Bia³ˆoruœ;BYR
 Rosja;RUB
Stany Zjednoczone;USD
